Data,Hora,Equipamento,Usuário Reserva
2015-01-26,10:00 ~ 12:00,FLUORESCÊNCIA RX,xxxxx
2015-01-26,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-27,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-27,10:00 ~ 12:00,MET CM120,xxxxx
2015-01-27,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-27,08:00 ~ 10:00,AFM BRUKER,xxxxx
2015-01-27,10:00 ~ 12:00,AFM BRUKER,xxxxx
2015-01-27,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-01-27,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-01-27,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-28,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-28,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-28,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-01-28,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-28,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-01-28,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-01-29,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-29,10:00 ~ 12:00,MET CM120,xxxxx
2015-01-29,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-29,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-01-29,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-29,14:00 ~ 16:00,MEV XL30 TMP,xxxxx
2015-01-29,16:00 ~ 18:00,MEV XL30 TMP,xxxxx
2015-01-30,08:00 ~ 10:00,MET CM120,xxxxx
2015-01-30,10:00 ~ 12:00,MET CM120,xxxxx
2015-01-30,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-01-30,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-01-30,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-01-30,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-02,08:00 ~ 10:00,MET CM120,xxxxx
2015-02-02,10:00 ~ 12:00,MET CM120,xxxxx
2015-02-02,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-02,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-02,14:00 ~ 16:00,MET CM120,xxxxx
2015-02-02,16:00 ~ 18:00,MET CM120,xxxxx
2015-02-02,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-03,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-03,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-03,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-03,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-04,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-04,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-04,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2015-02-04,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2015-02-04,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2015-02-04,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2015-02-04,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-04,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-04,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-04,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-02-04,10:00 ~ 12:00,MEV XL30 TMP,xxxxx
2015-02-05,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-05,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-02-05,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-05,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-05,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-05,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-06,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-06,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-09,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-09,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-09,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-09,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-02-09,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-09,18:00 ~ 20:00,MEV INSPECT EBSD,xxxxx
2015-02-09,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-09,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-10,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-10,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-10,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-10,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-10,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-02-10,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-10,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-10,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-10,18:00 ~ 20:00,MEV INSPECT EBSD,xxxxx
2015-02-10,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-02-11,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-02-11,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-02-11,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-11,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-11,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-11,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-11,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-11,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-12,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-12,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-12,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-12,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-12,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-12,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-12,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-12,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-13,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-13,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-13,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-13,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-13,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-13,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-13,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-13,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-18,14:00 ~ 16:00,MEV XL30 TMP,xxxxx
2015-02-19,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-19,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-02-19,16:00 ~ 18:00,MEV XL30 TMP,xxxxx
2015-02-19,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-20,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-20,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-20,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-20,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-20,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-20,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-20,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-20,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2015-02-20,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2015-02-20,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-20,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-02-23,08:00 ~ 10:00,FLUORESCÊNCIA RX,xxxxx
2015-02-23,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-23,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-23,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-02-23,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-23,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-23,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-23,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-24,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-24,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-02-24,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-24,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-24,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-24,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-24,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-24,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2015-02-25,08:00 ~ 10:00,AFM NANOSCOPE 3,xxxxx
2015-02-25,10:00 ~ 12:00,AFM NANOSCOPE 3,xxxxx
2015-02-25,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-25,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-25,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-25,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-02-25,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-02-25,14:00 ~ 16:00,MET CM120,xxxxx
2015-02-25,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-25,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-25,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-02-26,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-26,14:00 ~ 16:00,MET CM120,xxxxx
2015-02-26,16:00 ~ 18:00,MET CM120,xxxxx
2015-02-26,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-26,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-26,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-02-26,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-02-26,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-02-26,14:00 ~ 16:00,AFM BRUKER,xxxxx
2015-02-26,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-26,08:00 ~ 10:00,MET CM120,xxxxx
2015-02-26,10:00 ~ 12:00,FLUORESCÊNCIA RX,xxxxx
2015-02-26,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-02-26,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-02-27,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-02-27,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-02-27,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-02-27,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-02-27,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2015-02-27,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2015-02-27,10:00 ~ 12:00,MEV INSPECT EBSD,xxxxx
2015-02-27,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-02-27,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-02-27,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-02-27,08:00 ~ 10:00,FLUORESCÊNCIA RX,xxxxx
2015-02-27,10:00 ~ 12:00,FLUORESCÊNCIA RX,xxxxx
2015-02-27,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-02-27,08:00 ~ 10:00,MEV INSPECT EBSD,xxxxx
2015-03-02,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2015-03-02,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-02,08:00 ~ 10:00,MET TECNAI G2F20,xxxxx
2015-03-02,10:00 ~ 12:00,MET TECNAI G2F20,xxxxx
2015-03-02,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-02,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-02,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-03,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-03,12:00 ~ 14:00,MEV XL30 FEG,xxxxx
2015-03-03,10:00 ~ 12:00,MET CM120,xxxxx
2015-03-03,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-03-03,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-03-03,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-03-03,08:00 ~ 10:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-03,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-03-03,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-03,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-03,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-03,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-04,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-04,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-04,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-03-04,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-03-04,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-04,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-03-04,14:00 ~ 16:00,MET CM120,xxxxx
2015-03-04,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-03-04,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-03-04,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-04,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-03-04,12:00 ~ 14:00,MEV MAGELLAN,xxxxx
2015-03-04,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-03-05,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-03-05,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-05,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-03-05,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-03-05,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-03-05,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-03-05,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-05,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-05,08:00 ~ 10:00,AFM NANOSCOPE 3,xxxxx
2015-03-05,14:00 ~ 16:00,AFM NANOSCOPE 3,xxxxx
2015-03-05,12:00 ~ 14:00,MEV MAGELLAN,xxxxx
2015-03-05,14:00 ~ 16:00,MET CM120,xxxxx
2015-03-05,16:00 ~ 18:00,MET CM120,xxxxx
2015-03-05,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-03-05,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-06,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-03-06,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-03-06,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-03-06,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-03-06,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-03-06,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-03-06,10:00 ~ 12:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-06,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-06,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-06,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-06,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-03-09,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2015-03-09,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2015-03-09,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-03-09,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-09,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-09,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-03-09,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-09,14:00 ~ 16:00,MICROSCOPIO OPTICO CONFOCAL OLYMPUS,xxxxx
2015-03-10,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-03-10,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-03-10,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-10,14:00 ~ 16:00,FLUORESCÊNCIA RX,xxxxx
2015-03-10,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-03-10,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-10,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-11,14:00 ~ 16:00,MEV INSPECT EBSD,xxxxx
2015-03-11,16:00 ~ 18:00,MEV INSPECT EBSD,xxxxx
2015-03-11,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-03-11,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-03-11,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-03-11,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-11,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-11,08:00 ~ 10:00,FLUORESCÊNCIA RX,xxxxx
2015-03-11,14:00 ~ 16:00,MET TECNAI G2F20,xxxxx
2015-03-11,16:00 ~ 18:00,MET TECNAI G2F20,xxxxx
2015-03-12,14:00 ~ 16:00,MEV MAGELLAN,xxxxx
2015-03-12,08:00 ~ 10:00,MEV MAGELLAN,xxxxx
2015-03-12,10:00 ~ 12:00,MEV MAGELLAN,xxxxx
2015-03-12,16:00 ~ 18:00,MEV MAGELLAN,xxxxx
2015-03-12,08:00 ~ 10:00,MEV XL30 FEG,xxxxx
2015-03-12,10:00 ~ 12:00,MEV XL30 FEG,xxxxx
2015-03-12,14:00 ~ 16:00,MEV XL30 FEG,xxxxx
2015-03-12,16:00 ~ 18:00,MEV XL30 FEG,xxxxx
2015-03-12,12:00 ~ 14:00,MET TECNAI G2F20,xxxxx
2015-03-12,10:00 ~ 12:00,FLUORESCÊNCIA RX,xxxxx
